n    array                                                                  | BruteForce  MergeSort  Insertion  Hashing  BoyerMoore  QuickSort  DivideConq  Bitwise
4    [0, 1, 2, 3]                                                           |         -1         -1         -1         -1         -1         -1         -1         -1
4    [5, 5, 5, 4]                                                           |          5          5          5          5          5          5          5          5
4    [5, 5, 5, 5]                                                           |          5          5          5          5          5          5          5          5
4    [0, 1, 2, 3]                                                           |         -1         -1         -1         -1         -1         -1         -1         -1
4    [3, 2, 1, 0]                                                           |         -1         -1         -1         -1         -1         -1         -1         -1
4    [0, 1, 3, 2]                                                           |         -1         -1         -1         -1         -1         -1         -1         -1
4    [6, 1, 6, 3]                                                           |         -1         -1         -1         -1         -1         -1         -1         -1
4    [6, 6, 6, 5]                                                           |          6          6          6          6          6          6          6          6
4    [6, 6, 6, 8]                                                           |          6          6          6          6          6          6          6          6
4    [23, 30, 18, 28]                                                       |         -1         -1         -1         -1         -1         -1         -1         -1
4    [5, 48, 5, 5]                                                          |          5          5          5          5          5          5          5          5
4    [5, 5, 5, 120]                                                         |          5          5          5          5          5          5          5          5
4    [160, 5, 5, 5]                                                         |          5          5          5          5          5          5          5          5
4    [2, 200, 201, 202]                                                     |         -1         -1         -1         -1         -1         -1         -1         -1
4    [5, 5, 5, 5]                                                           |          5          5          5          5          5          5          5          5
4    [0, 1, 2, 3]                                                           |         -1         -1         -1         -1         -1         -1         -1         -1
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
8    []                                                                     |         -1         -1         -1         -1         -1         -1         -1         -1
8    [0]                                                                    |          0          0          0          0          0          0          0          0
8    [0, 1, 2, 3, 4, 5, 6, 7]                                               |         -1         -1         -1         -1         -1         -1         -1         -1
8    [9, 9, 9, 9, 8, 9, 10, 9]                                              |          9          9          9          9          9          9          9          9
8    [9, 9, 9, 9, 9, 9, 9, 9]                                               |          9          9          9          9          9          9          9          9
8    [0, 1, 2, 3, 4, 5, 6, 7]                                               |         -1         -1         -1         -1         -1         -1         -1         -1
